S96-A46,IPC_2,Unknown,1,tnpA2,Test,20.41680897,-1,1,Pass,0.006309029,85.38203787,999,1,W1.1
S96-A47,IPC_2,Unknown,1,tnpA2,Test,20.53631294,-1,1,Pass,0.006309029,85.4082041,999,1,W1.1
S96-A48,IPC_2,Unknown,1,tnpA2,Test,20.94064452,-1,1,Pass,0.006309029,85.42020359,999,1,W1.1
S96-A54,IPC_2,Unknown,1,tetH,Test,23.03809241,-1,1,Pass,0.006309029,81.03298998,999,1,W1.1
S96-A53,IPC_2,Unknown,1,tetH,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A52,IPC_2,Unknown,1,tetH,Test,22.96810352,-1,1,Pass,0.006309029,81.0484946,999,1,W1.1
S96-A51,IPC_2,Unknown,1,aadD,Test,22.31183582,-1,1,Pass,0.006309029,83.04674218,999,1,W1.1
S96-A50,IPC_2,Unknown,1,aadD,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A49,IPC_2,Unknown,1,aadD,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A60,IPC_2,Unknown,1,tnpA3,Test,22.46757403,-1,1,Pass,0.006309029,88.04320375,999,1,W1.1
S96-A59,IPC_2,Unknown,1,tnpA3,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A58,IPC_2,Unknown,1,tnpA3,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A57,IPC_2,Unknown,1,lnuA,Test,22.26415196,0.047675695,1,Pass,0.006309029,76.59569507,999,1,W1.1
S96-A56,IPC_2,Unknown,1,lnuA,Test,22.97738645,1.047385166,1,Pass,0.006309029,76.95998527,999,1,W1.1
S96-A55,IPC_2,Unknown,1,lnuA,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A66,IPC_2,Unknown,1,tetL,Test,17.43110412,0.310725499,1,Pass,0.006309029,81.16533082,999,1,W1.1
S96-A65,IPC_2,Unknown,1,tetL,Test,17.74998687,0.240257058,1,Pass,0.006309029,81.13669248,999,1,W1.1
S96-A64,IPC_2,Unknown,1,tetL,Test,17.63254902,0.264127246,1,Pass,0.006309029,81.10035298,999,1,W1.1
S96-A63,IPC_2,Unknown,1,aphA3,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A62,IPC_2,Unknown,1,aphA3,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A61,IPC_2,Unknown,1,aphA3,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A72,IPC_2,Unknown,1,tnpA5,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A71,IPC_2,Unknown,1,tnpA5,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A70,IPC_2,Unknown,1,tnpA5,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A69,IPC_2,Unknown,1,IS1247,Test,27.79648173,-1,0.961177748,Pass,0.006309029,89.96429566,999,1,W1.1
S96-A68,IPC_2,Unknown,1,IS1247,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A67,IPC_2,Unknown,1,IS1247,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A78,IPC_2,Unknown,1,tetM,Test,19.72784472,-1,1,Pass,0.006309029,81.29988653,999,1,W1.1
S96-A77,IPC_2,Unknown,1,tetM,Test,19.24299894,-1,1,Pass,0.006309029,81.22628211,999,1,W1.1
S96-A76,IPC_2,Unknown,1,tetM,Test,20.17419934,-1,1,Pass,0.006309029,81.39626679,999,1,W1.1
S96-A75,IPC_2,Unknown,1,cadC,Test,25.66069367,-1,1,Pass,0.006309029,80.65335557,999,1,W1.1
S96-A74,IPC_2,Unknown,1,cadC,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A73,IPC_2,Unknown,1,cadC,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A84,IPC_2,Unknown,1,tnpA6,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A83,IPC_2,Unknown,1,tnpA6,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A82,IPC_2,Unknown,1,tnpA6,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A81,IPC_2,Unknown,1,IS6100,Test,21.0508779,6.23E-07,1,Pass,0.006309029,88.15021452,999,1,W1.1
S96-A80,IPC_2,Unknown,1,IS6100,Test,21.78016241,3.94E-07,1,Pass,0.006309029,87.85502123,999,1,W1.1
S96-A79,IPC_2,Unknown,1,IS6100,Test,20.03608055,1.18E-06,1,Pass,0.006309029,88.05525555,999,1,W1.1
S96-A90,IPC_2,Unknown,1,tetT,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A89,IPC_2,Unknown,1,tetT,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A88,IPC_2,Unknown,1,tetT,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A87,IPC_2,Unknown,1,cmr,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A86,IPC_2,Unknown,1,cmr,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A85,IPC_2,Unknown,1,cmr,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A96,IPC_2,Unknown,1,tnpA7,Test,22.85882089,-1,1,Pass,0.006309029,80.69609156,999,1,W1.1
S96-A95,IPC_2,Unknown,1,tnpA7,Test,999,-1,0,Flag,0.006309029,999,999,0,W1.1
S96-A94,IPC_2,Unknown,1,tnpA7,Test,22.63648957,-1,1,Pass,0.006309029,80.62746016,999,1,W1.1
